Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Date	Party	Year	URL	Matchbegin corpus position	Matchend corpus position
1	c_3909	Decade but intends to carry on after the decade . Currently a million people throughout the world are getting improved	water and sanitation	from projects supported by Water Aid , some complete and some still under way . The necessity of massively improving	Decade_NNP but_CC intends_VBZ to_TO carry_VB on_RP after_IN the_DT decade_NN ._. Currently_RB a_DT million_CD people_NNS throughout_IN the_DT world_NN are_VBP getting_VBG improved_VBN	water_NN and_CC sanitation_NN	from_IN projects_NNS supported_VBN by_IN Water_NNP Aid_NNP ,_, some_DT complete_JJ and_CC some_DT still_RB under_IN way_NN ._. The_DT necessity_NN of_IN massively_RB improving_VBG	1988-12-07	con	1988	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=0	887083	887085
2	c_78921	This covered training awards in Britain , and technical co-operation which included assistance with forestry , agriculture , education ,	water and sanitation	and roads . Is my right hon . Friend aware that , owing to the trade and transit dispute between	This_DT covered_VBD training_NN awards_NNS in_IN Britain_NNP ,_, and_CC technical_JJ co-operation_NN which_WDT included_VBD assistance_NN with_IN forestry_NN ,_, agriculture_NN ,_, education_NN ,_,	water_NN and_CC sanitation_NN	and_CC roads_NNS ._. Is_VBZ my_PRP$ right_JJ hon_NN ._. Friend_NN aware_JJ that_IN ,_, owing_VBG to_IN the_DT trade_NN and_CC transit_NN dispute_NN between_IN	1990-01-29	con	1990	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=1	16138891	16138893
3	c_84408	programmes have a central place . Child health also benefits from our support for family planning , provision of clean	water and sanitation	, education , especially women education , and progammes to improve the status of women . Does my right hon	programmes_NNS have_VBP a_DT central_JJ place_NN ._. Child_NN health_NN also_RB benefits_VBZ from_IN our_PRP$ support_NN for_IN family_NN planning_NN ,_, provision_NN of_IN clean_JJ	water_NN and_CC sanitation_NN	,_, education_NN ,_, especially_RB women_NNS education_NN ,_, and_CC progammes_NNS to_TO improve_VB the_DT status_NN of_IN women_NNS ._. Does_VBZ my_PRP$ right_JJ hon_NN	1990-02-19	con	1990	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=2	17114608	17114610
4	c_101968	Member for Torfaen ( Mr. Murphy ) spoke eloquently of the role of local authorities over the centuries in providing	water and sanitation	services and caring for the local environment generally . New clause 24 underlines their role as local environmental protection agencies	Member_NNP for_IN Torfaen_NNP (_-LRB- Mr._NNP Murphy_NNP )_-RRB- spoke_VBD eloquently_RB of_IN the_DT role_NN of_IN local_JJ authorities_NNS over_IN the_DT centuries_NNS in_IN providing_VBG	water_NN and_CC sanitation_NN	services_NNS and_CC caring_NN for_IN the_DT local_JJ environment_NN generally_RB ._. New_JJ clause_NN 24_CD underlines_VBZ their_PRP$ role_NN as_IN local_JJ environmental_JJ protection_NN agencies_NNS	1990-05-02	lab	1990	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=3	20424398	20424400
5	c_113242	all international environmental forums . The hon . Member for Cynon Valley also referred to water . I agree that	water and sanitation	are both critical . Ten years ago only 40 per cent . of the world population had access to a	all_DT international_JJ environmental_JJ forums_NNS ._. The_DT hon_NN ._. Member_NNP for_IN Cynon_NNP Valley_NNP also_RB referred_VBD to_IN water_NN ._. I_PRP agree_VBP that_IN	water_NN and_CC sanitation_NN	are_VBP both_CC critical_JJ ._. Ten_CD years_NNS ago_RB only_RB 40_CD per_NN cent_NN ._. of_IN the_DT world_NN population_NN had_VBD access_NN to_IN a_DT	1990-06-26	con	1990	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=4	22609673	22609675
6	c_113242	is a pressing need to accelerate the impetus worldwide during the 1990s . That is why we are funding numerous	water and sanitation	projects in the developing countries . That is why , in 1988 alone , we had 86 on - going	is_VBZ a_DT pressing_VBG need_NN to_TO accelerate_VB the_DT impetus_NN worldwide_RB during_IN the_DT 1990s_NNS ._. That_DT is_VBZ why_WRB we_PRP are_VBP funding_VBG numerous_JJ	water_NN and_CC sanitation_NN	projects_NNS in_IN the_DT developing_NN countries_NNS ._. That_DT is_VBZ why_WRB ,_, in_IN 1988_CD alone_RB ,_, we_PRP had_VBD 86_CD on_IN -_HYPH going_NN	1990-06-26	con	1990	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=5	22609795	22609797
7	c_128007	children , be it in the form of education , health care , the provision of nutritious food or clean	water and sanitation	. We can all unite around that cause . At a time when we are considering the possibility of having	children_NNS ,_, be_VB it_PRP in_IN the_DT form_NN of_IN education_NN ,_, health_NN care_NN ,_, the_DT provision_NN of_IN nutritious_JJ food_NN or_CC clean_JJ	water_NN and_CC sanitation_NN	._. We_PRP can_MD all_RB unite_VB around_IN that_DT cause_NN ._. At_IN a_DT time_NN when_WRB we_PRP are_VBP considering_VBG the_DT possibility_NN of_IN having_VBG	1990-11-08	con	1990	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=6	25588800	25588802
8	c_155046	in Baghdad face a public health crisis of vast proportions because of what international health authorities call " grossly inadequate	water and sanitation	services . " The Red Cross says that , unless Iraq immediately receives massive international relief , the city could	in_IN Baghdad_NNP face_VBP a_DT public_JJ health_NN crisis_NN of_IN vast_JJ proportions_NNS because_IN of_IN what_WP international_JJ health_NN authorities_NNS call_VBP "_`` grossly_RB inadequate_JJ	water_NN and_CC sanitation_NN	services_NNS ._. "_'' The_DT Red_NNP Cross_NNP says_VBZ that_IN ,_, unless_IN Iraq_NNP immediately_RB receives_VBZ massive_JJ international_JJ relief_NN ,_, the_DT city_NN could_MD	1991-03-15	lab	1991	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=7	31090500	31090502
9	c_197566	the situation at first hand . Since September , we have given £ 1 million to UNICEF for medicines ,	water and sanitation	in the south , £ 78,000 to the Save the Children Fund for water and sanitation in the south ,	the_DT situation_NN at_IN first_JJ hand_NN ._. Since_IN September_NNP ,_, we_PRP have_VBP given_VBN £_$ 1_CD million_CD to_IN UNICEF_NNP for_IN medicines_NNS ,_,	water_NN and_CC sanitation_NN	in_IN the_DT south_NN ,_, £_$ 78,000_CD to_IN the_DT Save_VB the_DT Children_NNPS Fund_NNP for_IN water_NN and_CC sanitation_NN in_IN the_DT south_NN ,_,	1991-12-12	con	1991	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=8	39499749	39499751
10	c_197566	UNICEF for medicines , water and sanitation in the south , £ 78,000 to the Save the Children Fund for	water and sanitation	in the south , and almost £ 700,000 to organisations that are working to help refugees from southern Iraq and	UNICEF_NNP for_IN medicines_NNS ,_, water_NN and_CC sanitation_NN in_IN the_DT south_NN ,_, £_$ 78,000_CD to_IN the_DT Save_VB the_DT Children_NNPS Fund_NNP for_IN	water_NN and_CC sanitation_NN	in_IN the_DT south_NN ,_, and_CC almost_RB £_$ 700,000_CD to_IN organisations_NNS that_WDT are_VBP working_VBG to_TO help_VB refugees_NNS from_IN southern_JJ Iraq_NNP and_CC	1991-12-12	con	1991	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=9	39499765	39499767
11	c_205306	the African development fund is assisting . In 1990 , more than Â £ 10 Â·5 million was spent on	water and sanitation	projects under the ODA bilateral programmes in Africa . The hon . Gentleman mentioned that Canada and the United Kingdom	the_DT African_JJ development_NN fund_NN is_VBZ assisting_VBG ._. In_IN 1990_CD ,_, more_JJR than_IN Â_$ £_$ 10_CD Â·5_CD million_CD was_VBD spent_VBN on_IN	water_NN and_CC sanitation_NN	projects_NNS under_IN the_DT ODA_NNP bilateral_JJ programmes_NNS in_IN Africa_NNP ._. The_DT hon_NN ._. Gentleman_NN mentioned_VBD that_IN Canada_NNP and_CC the_DT United_NNP Kingdom_NNP	1992-02-03	con	1992	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=10	41038037	41038039
12	c_282223	supplies . There has been a resurgence of vaccine - preventable diseases , including polio , diphtheria and measles .	Water and sanitation	services are absolutely critical . War damage and breakdowns go largely unrepaired because of a lack of vital spare parts	supplies_NNS ._. There_EX has_VBZ been_VBN a_DT resurgence_NN of_IN vaccine_NN -_HYPH preventable_JJ diseases_NNS ,_, including_VBG polio_NN ,_, diphtheria_NN and_CC measles_NNS ._.	Water_NN and_CC sanitation_NN	services_NNS are_VBP absolutely_RB critical_JJ ._. War_NN damage_NN and_CC breakdowns_NNS go_VBP largely_RB unrepaired_JJ because_IN of_IN a_DT lack_NN of_IN vital_JJ spare_NN parts_NNS	1993-06-11	lab	1993	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=11	56521458	56521460
13	c_345194	with homes the rubble left by Israeli raids . It wants to build more , including schools and infrastructure for	water and sanitation	, but the Lebanese Government say no . Permanent structures create a feeling of permanence and that can be allowed	with_IN homes_NNS the_DT rubble_NN left_VBN by_IN Israeli_JJ raids_NNS ._. It_PRP wants_VBZ to_TO build_VB more_JJR ,_, including_VBG schools_NNS and_CC infrastructure_NN for_IN	water_NN and_CC sanitation_NN	,_, but_CC the_DT Lebanese_JJ Government_NNP say_VBP no_UH ._. Permanent_JJ structures_NNS create_VBP a_DT feeling_NN of_IN permanence_NN and_CC that_DT can_MD be_VB allowed_VBN	1994-07-15	lab	1994	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=12	69402868	69402870
14	c_364488	is why the projects and programmes that we fund cover the range of education , health , child survival ,	water and sanitation	, and child protection objectives that were agreed at the summit . For example , we provide assistance for street	is_VBZ why_WRB the_DT projects_NNS and_CC programmes_NNS that_WDT we_PRP fund_VBP cover_VBP the_DT range_NN of_IN education_NN ,_, health_NN ,_, child_NN survival_NN ,_,	water_NN and_CC sanitation_NN	,_, and_CC child_NN protection_NN objectives_NNS that_WDT were_VBD agreed_VBN at_IN the_DT summit_NN ._. For_IN example_NN ,_, we_PRP provide_VBP assistance_NN for_IN street_NN	1995-02-06	con	1995	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=13	73734239	73734241
15	c_373347	, specific proposals include employment creation , redistribution of land , building over 1 million new homes , providing clean	water and sanitation	to all and providing universal access to health care . It also seeks education and training from the cradle to	,_, specific_JJ proposals_NNS include_VBP employment_NN creation_NN ,_, redistribution_NN of_IN land_NN ,_, building_VBG over_RB 1_CD million_CD new_JJ homes_NNS ,_, providing_VBG clean_JJ	water_NN and_CC sanitation_NN	to_IN all_DT and_CC providing_VBG universal_JJ access_NN to_IN health_NN care_NN ._. It_PRP also_RB seeks_VBZ education_NN and_CC training_NN from_IN the_DT cradle_NN to_IN	1995-03-09	lab	1995	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=14	75538885	75538887
16	c_374932	information project - money that should have been spent on basic human needs such as health , education , safe	water and sanitation	, things that the countries of Africa desperately need . I have one simple statistic - the Â £ 234	information_NN project_NN -_HYPH money_NN that_WDT should_MD have_VB been_VBN spent_VBN on_IN basic_JJ human_JJ needs_NNS such_JJ as_IN health_NN ,_, education_NN ,_, safe_JJ	water_NN and_CC sanitation_NN	,_, things_NNS that_WDT the_DT countries_NNS of_IN Africa_NNP desperately_RB need_VBP ._. I_PRP have_VBP one_CD simple_JJ statistic_NN -_, the_DT Â_$ £_$ 234_CD	1995-03-16	lab	1995	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=15	75875086	75875088
17	c_417962	Fawzi of the Harvard School of Public Health , " Food prices are high , purchasing power is low ,	water and sanitation	systems have deteriorated , hospitals are functioning at 40 per cent . capacity and the population is largely sustained by	Fawzi_NNP of_IN the_DT Harvard_NNP School_NNP of_IN Public_NNP Health_NNP ,_, "_`` Food_NN prices_NNS are_VBP high_JJ ,_, purchasing_NN power_NN is_VBZ low_JJ ,_,	water_NN and_CC sanitation_NN	systems_NNS have_VBP deteriorated_VBN ,_, hospitals_NNS are_VBP functioning_VBG at_IN 40_CD per_NN cent_NN ._. capacity_NN and_CC the_DT population_NN is_VBZ largely_RB sustained_VBN by_IN	1996-02-07	lab	1996	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=16	85535406	85535408
18	c_436783	here to pillory Yorkshire Water yet again ; what interests me is growing public concern that the very delivery of	water and sanitation	to people homes is being threatened by company greed on the one hand , and Government inaction and drift on	here_RB to_TO pillory_VB Yorkshire_NNP Water_NNP yet_RB again_RB ;_, what_WP interests_VBZ me_PRP is_VBZ growing_VBG public_JJ concern_NN that_IN the_DT very_JJ delivery_NN of_IN	water_NN and_CC sanitation_NN	to_IN people_NNS homes_NNS is_VBZ being_VBG threatened_VBN by_IN company_NN greed_NN on_IN the_DT one_CD hand_NN ,_, and_CC Government_NN inaction_NN and_CC drift_VBP on_IN	1996-05-08	lab	1996	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=17	89539780	89539782
